"","DR_NO","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","LAT","LON"
"22",200209274,"04/22/2020 12:00:00 AM",1950,2,"Rampart",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,"M","B",203,"OTHER BUSINESS",34.0812,-118.2953
"23",221815640,"08/11/2022 12:00:00 AM",1225,18,"Southeast",354,"THEFT OF IDENTITY",29,"F","A",501,"SINGLE FAMILY DWELLING",33.889,-118.2875
"24",210607818,"04/01/2021 12:00:00 AM",1200,6,"Hollywood",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,"X","X",503,"HOTEL",34.098,-118.3365
"25",241005423,"02/10/2024 12:00:00 AM",100,10,"West Valley",626,"INTIMATE PARTNER - SIMPLE ASSAULT",37,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.2084,-118.5012
"26",220620505,"12/21/2022 12:00:00 AM",1930,6,"Hollywood",330,"BURGLARY FROM VEHICLE",34,"M","B",101,"STREET",34.0944,-118.3398
"27",242005693,"02/06/2024 12:00:00 AM",1500,20,"Olympic",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,"X","X",704,"ELEMENTARY SCHOOL",34.0391,-118.2942
"28",221204336,"01/05/2022 12:00:00 AM",2100,12,"77th Street",510,"VEHICLE - STOLEN",0,"","",104,"DRIVEWAY",33.9718,-118.2765
"29",240710983,"08/26/2024 12:00:00 AM",1430,7,"Wilshire",755,"BOMB SCARE",43,"M","X",721,"HIGH SCHOOL",34.0483,-118.372
"30",220807468,"03/27/2022 12:00:00 AM",1555,8,"West LA",624,"BATTERY - SIMPLE ASSAULT",70,"M","O",101,"STREET",34.0553,-118.4418
"31",210710170,"06/25/2021 12:00:00 AM",330,7,"Wilshire",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",59,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0838,-118.3627
"32",200900742,"06/28/2020 12:00:00 AM",1130,9,"Van Nuys",210,"ROBBERY",33,"F","H",406,"OTHER STORE",34.1903,-118.4399
"33",230810555,"06/01/2023 12:00:00 AM",2200,8,"West LA",341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,"","",101,"STREET",34.0488,-118.4476
"34",230514079,"09/28/2023 12:00:00 AM",2230,5,"Harbor",901,"VIOLATION OF RESTRAINING ORDER",69,"F","H",501,"SINGLE FAMILY DWELLING",33.7433,-118.2836
"35",231717502,"11/11/2023 12:00:00 AM",1558,17,"Devonshire",320,"BURGLARY, ATTEMPTED",77,"M","O",501,"SINGLE FAMILY DWELLING",34.2572,-118.6083
"36",211114004,"09/16/2021 12:00:00 AM",625,11,"Northeast",354,"THEFT OF IDENTITY",45,"M","W",751,"WEBSITE",34.1077,-118.2918
"37",201809955,"04/22/2020 12:00:00 AM",500,18,"Southeast",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",58,"F","B",122,"VEHICLE, PASSENGER/TRUCK",33.9438,-118.2739
"38",210517126,"12/01/2021 12:00:00 AM",1200,5,"Harbor",626,"INTIMATE PARTNER - SIMPLE ASSAULT",47,"M","W",705,"SLIPS/DOCK/MARINA/BOAT",33.7672,-118.2414
"39",221110998,"06/30/2022 12:00:00 AM",200,11,"Northeast",624,"BATTERY - SIMPLE ASSAULT",41,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.1036,-118.2011
"40",212111337,"07/12/2021 12:00:00 AM",1010,21,"Topanga",354,"THEFT OF IDENTITY",44,"M","W",501,"SINGLE FAMILY DWELLING",34.1973,-118.5817
"41",211421103,"11/07/2021 12:00:00 AM",1,14,"Pacific",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36,"M","W",503,"HOTEL",33.9894,-118.4721
"42",201518768,"12/17/2020 12:00:00 AM",125,15,"N Hollywood",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",40,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.183,-118.3834
"43",201612775,"09/11/2020 12:00:00 AM",105,16,"Foothill",903,"CONTEMPT OF COURT",37,"M","H",501,"SINGLE FAMILY DWELLING",34.2121,-118.3818
"44",211422557,"12/05/2021 12:00:00 AM",900,14,"Pacific",440,"THEFT PLAIN - PETTY ($950 & UNDER)",26,"M","W",707,"GARAGE/CARPORT",34.0002,-118.4601
"45",211419559,"10/06/2021 12:00:00 AM",1200,14,"Pacific",624,"BATTERY - SIMPLE ASSAULT",16,"F","W",507,"CONDOMINIUM/TOWNHOUSE",33.9813,-118.435
"46",221810156,"05/02/2022 12:00:00 AM",7,18,"Southeast",354,"THEFT OF IDENTITY",41,"F","B",501,"SINGLE FAMILY DWELLING",33.9292,-118.2652
"47",220912278,"08/06/2022 12:00:00 AM",1555,9,"Van Nuys",442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",27,"M","H",403,"DRUG STORE",34.1841,-118.4693
"48",230114673,"06/22/2023 12:00:00 AM",1900,1,"Central",330,"BURGLARY FROM VEHICLE",40,"M","O",101,"STREET",34.0463,-118.2402
"49",212116190,"11/07/2021 12:00:00 AM",1600,21,"Topanga",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",36,"M","H",101,"STREET",34.2336,-118.6038
"50",231910124,"06/04/2023 12:00:00 AM",1606,19,"Mission",330,"BURGLARY FROM VEHICLE",20,"F","H",108,"PARKING LOT",34.3069,-118.4297
"51",220605159,"01/24/2022 12:00:00 AM",2315,6,"Hollywood",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",53,"M","W",504,"OTHER RESIDENCE",34.095,-118.307
"52",201709162,"05/15/2020 12:00:00 AM",2030,17,"Devonshire",310,"BURGLARY",0,"X","X",203,"OTHER BUSINESS",34.2283,-118.5405
"53",232005152,"01/19/2023 12:00:00 AM",1330,20,"Olympic",341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40,"M","K",702,"OFFICE BUILDING/OFFICE",34.0636,-118.2954
"54",240505876,"02/20/2024 12:00:00 AM",340,5,"Harbor",624,"BATTERY - SIMPLE ASSAULT",35,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",33.7388,-118.2879
"55",221412559,"06/15/2022 12:00:00 AM",800,14,"Pacific",330,"BURGLARY FROM VEHICLE",51,"M","O",108,"PARKING LOT",33.9355,-118.4386
"56",231006555,"03/07/2023 12:00:00 AM",2205,10,"West Valley",943,"CRUELTY TO ANIMALS",0,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.2138,-118.5361
"57",202107063,"03/07/2020 12:00:00 AM",1145,21,"Topanga",930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",40,"F","O",501,"SINGLE FAMILY DWELLING",34.1811,-118.6176
"58",231711505,"06/13/2023 12:00:00 AM",1840,17,"Devonshire",310,"BURGLARY",28,"M","O",501,"SINGLE FAMILY DWELLING",34.283,-118.4845
"59",240409154,"04/20/2023 12:00:00 AM",1100,4,"Hollenbeck",440,"THEFT PLAIN - PETTY ($950 & UNDER)",46,"F","H",504,"OTHER RESIDENCE",34.0528,-118.2135
"60",221215407,"07/07/2022 12:00:00 AM",2145,12,"77th Street",626,"INTIMATE PARTNER - SIMPLE ASSAULT",48,"F","H",108,"PARKING LOT",33.9623,-118.2815
"61",210110982,"04/08/2021 12:00:00 AM",1450,1,"Central",354,"THEFT OF IDENTITY",51,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0438,-118.2441
"62",200105019,"01/14/2020 12:00:00 AM",1150,1,"Central",330,"BURGLARY FROM VEHICLE",29,"M","H",101,"STREET",34.043,-118.2606
"63",220807725,"03/29/2022 12:00:00 AM",1200,8,"West LA",420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",707,"GARAGE/CARPORT",34.0433,-118.4472
"64",232007560,"03/29/2023 12:00:00 AM",356,20,"Olympic",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",32,"M","A",122,"VEHICLE, PASSENGER/TRUCK",34.0672,-118.3054
"65",241806245,"02/18/2024 12:00:00 AM",115,18,"Southeast",626,"INTIMATE PARTNER - SIMPLE ASSAULT",37,"F","H",501,"SINGLE FAMILY DWELLING",33.9355,-118.2327
"66",231105179,"12/10/2022 12:00:00 AM",500,11,"Northeast",440,"THEFT PLAIN - PETTY ($950 & UNDER)",33,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0986,-118.2499
"67",221321869,"12/01/2022 12:00:00 AM",643,13,"Newton",354,"THEFT OF IDENTITY",26,"F","B",750,"CYBERSPACE",34.025,-118.2542
"68",201417462,"09/20/2020 12:00:00 AM",115,14,"Pacific",625,"OTHER ASSAULT",25,"F","W",207,"BAR/COCKTAIL/NIGHTCLUB",33.9792,-118.4666
"69",230613993,"08/17/2023 12:00:00 AM",1030,6,"Hollywood",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",24,"F","W",101,"STREET",34.098,-118.3237
"70",210412548,"09/05/2021 12:00:00 AM",2020,4,"Hollenbeck",220,"ATTEMPTED ROBBERY",0,"X","X",203,"OTHER BUSINESS",34.0225,-118.2156
"71",210215442,"09/29/2021 12:00:00 AM",2245,2,"Rampart",510,"VEHICLE - STOLEN",0,"","",108,"PARKING LOT",34.0836,-118.2949
"72",201313601,"07/06/2020 12:00:00 AM",1200,13,"Newton",624,"BATTERY - SIMPLE ASSAULT",13,"F","H",101,"STREET",33.9993,-118.2609
"73",240312371,"07/16/2024 12:00:00 AM",2013,3,"Southwest",624,"BATTERY - SIMPLE ASSAULT",20,"F","O",404,"DEPARTMENT STORE",34.0268,-118.2896
"74",220813538,"08/19/2022 12:00:00 AM",1500,8,"West LA",352,"PICKPOCKET",63,"F","W",727,"SHOPPING MALL (COMMON AREA)",34.0611,-118.4184
"75",221612666,"09/21/2022 12:00:00 AM",2130,16,"Foothill",330,"BURGLARY FROM VEHICLE",0,"X","X",101,"STREET",34.2737,-118.4117
"76",210117614,"09/26/2021 12:00:00 AM",1700,1,"Central",330,"BURGLARY FROM VEHICLE",62,"M","B",108,"PARKING LOT",34.0473,-118.248
"77",201411514,"05/28/2020 12:00:00 AM",135,14,"Pacific",761,"BRANDISH WEAPON",25,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",33.9997,-118.4366
"78",242006646,"02/26/2024 12:00:00 AM",2330,20,"Olympic",330,"BURGLARY FROM VEHICLE",30,"F","W",507,"CONDOMINIUM/TOWNHOUSE",34.0509,-118.3031
"79",220410206,"06/24/2022 12:00:00 AM",2340,4,"Hollenbeck",210,"ROBBERY",38,"X","H",101,"STREET",34.0173,-118.22
"80",241214590,"05/07/2023 12:00:00 AM",1200,12,"77th Street",662,"BUNCO, GRAND THEFT",75,"M","B",708,"CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)",33.9997,-118.2849
"81",211106643,"03/14/2021 12:00:00 AM",1145,11,"Northeast",341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",64,"F","W",501,"SINGLE FAMILY DWELLING",34.134,-118.209
"82",211310844,"06/05/2021 12:00:00 AM",2030,13,"Newton",510,"VEHICLE - STOLEN",0,"","",101,"STREET",34.0075,-118.259
"83",210216967,"10/30/2021 12:00:00 AM",2130,2,"Rampart",626,"INTIMATE PARTNER - SIMPLE ASSAULT",26,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0,0
"84",210122412,"12/18/2021 12:00:00 AM",2355,1,"Central",761,"BRANDISH WEAPON",57,"F","W",101,"STREET",34.0419,-118.2669
"85",211712481,"07/19/2021 12:00:00 AM",1755,17,"Devonshire",354,"THEFT OF IDENTITY",40,"M","W",501,"SINGLE FAMILY DWELLING",34.2432,-118.5232
"86",231015135,"10/24/2023 12:00:00 AM",1930,10,"West Valley",888,"TRESPASSING",23,"M","O",501,"SINGLE FAMILY DWELLING",34.1593,-118.5208
"87",231223962,"11/29/2023 12:00:00 AM",755,12,"77th Street",210,"ROBBERY",0,"X","X",401,"MINI-MART",33.9745,-118.3294
"88",220705029,"01/28/2022 12:00:00 AM",1845,7,"Wilshire",442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",0,"X","X",415,"THE GROVE",34.0736,-118.3563
"89",231907644,"03/20/2023 12:00:00 AM",800,19,"Mission",354,"THEFT OF IDENTITY",54,"F","H",501,"SINGLE FAMILY DWELLING",34.3049,-118.4479
"90",242111283,"07/13/2024 12:00:00 AM",1200,21,"Topanga",420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",108,"PARKING LOT",34.2239,-118.6017
"91",200106808,"02/10/2020 12:00:00 AM",915,1,"Central",624,"BATTERY - SIMPLE ASSAULT",34,"M","K",102,"SIDEWALK",34.0479,-118.2612
"92",211422848,"11/28/2021 12:00:00 AM",1500,14,"Pacific",440,"THEFT PLAIN - PETTY ($950 & UNDER)",39,"M","W",101,"STREET",33.9969,-118.4179
"93",201820517,"11/13/2020 12:00:00 AM",1800,18,"Southeast",520,"VEHICLE - ATTEMPT STOLEN",48,"M","H",101,"STREET",33.9325,-118.2319
"94",220916453,"11/22/2022 12:00:00 AM",1030,9,"Van Nuys",626,"INTIMATE PARTNER - SIMPLE ASSAULT",41,"F","H",108,"PARKING LOT",34.1794,-118.4181
"95",201411948,"06/06/2020 12:00:00 AM",5,14,"Pacific",310,"BURGLARY",0,"X","X",710,"OTHER PREMISE",33.9962,-118.4482
"96",241212170,"05/31/2024 12:00:00 AM",43,12,"77th Street",814,"CHILD PORNOGRAPHY",17,"M","H",501,"SINGLE FAMILY DWELLING",33.9855,-118.3235
"97",230125632,"12/05/2023 12:00:00 AM",152,1,"Central",330,"BURGLARY FROM VEHICLE",54,"F","W",108,"PARKING LOT",34.043,-118.2571
"98",220804424,"01/04/2022 12:00:00 AM",1700,8,"West LA",330,"BURGLARY FROM VEHICLE",35,"F","A",507,"CONDOMINIUM/TOWNHOUSE",34.0481,-118.4581
"99",221508332,"07/15/2021 12:00:00 AM",230,15,"N Hollywood",121,"RAPE, FORCIBLE",23,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.1649,-118.3621
"100",201417879,"09/25/2020 12:00:00 AM",1100,14,"Pacific",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",49,"M","B",101,"STREET",33.991,-118.4703
"101",230917789,"12/15/2023 12:00:00 AM",330,9,"Van Nuys",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",25,"F","B",122,"VEHICLE, PASSENGER/TRUCK",34.1867,-118.4247
"102",201317707,"09/29/2020 12:00:00 AM",1700,13,"Newton",236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",33,"F","H",102,"SIDEWALK",34.0147,-118.2432
"103",221313758,"06/30/2022 12:00:00 AM",1330,13,"Newton",510,"VEHICLE - STOLEN",0,"","",101,"STREET",34.0247,-118.2734
"104",201113933,"04/01/2020 12:00:00 AM",920,11,"Northeast",341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,"F","W",104,"DRIVEWAY",34.124,-118.2675
"105",240704002,"12/29/2023 12:00:00 AM",1800,7,"Wilshire",310,"BURGLARY",70,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0622,-118.3429
"106",231717297,"11/06/2023 12:00:00 AM",1600,17,"Devonshire",420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",108,"PARKING LOT",34.2392,-118.5696
"107",200906905,"03/03/2020 12:00:00 AM",2008,9,"Van Nuys",510,"VEHICLE - STOLEN",0,"","",101,"STREET",34.2085,-118.4698
"108",211422250,"12/01/2021 12:00:00 AM",1800,14,"Pacific",510,"VEHICLE - STOLEN",0,"","",101,"STREET",33.9988,-118.4361
"109",220106798,"02/18/2022 12:00:00 AM",800,1,"Central",625,"OTHER ASSAULT",46,"F","W",102,"SIDEWALK",34.0466,-118.252
"110",222116005,"10/29/2022 12:00:00 AM",1155,21,"Topanga",624,"BATTERY - SIMPLE ASSAULT",68,"M","O",101,"STREET",34.1684,-118.6021
"111",200414386,"10/28/2020 12:00:00 AM",1300,4,"Hollenbeck",440,"THEFT PLAIN - PETTY ($950 & UNDER)",32,"M","B",203,"OTHER BUSINESS",34.0887,-118.2079
"112",221614014,"11/04/2022 12:00:00 AM",1300,16,"Foothill",420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",101,"STREET",34.2728,-118.4332
"113",211204992,"01/13/2021 12:00:00 AM",1200,12,"77th Street",624,"BATTERY - SIMPLE ASSAULT",26,"F","H",101,"STREET",33.9825,-118.3309
"114",220210967,"05/27/2022 12:00:00 AM",1000,2,"Rampart",930,"CRIMINAL THREATS - NO WEAPON DISPLAYED",33,"F","W",101,"STREET",34.0481,-118.2712
"115",201814755,"07/29/2020 12:00:00 AM",1550,18,"Southeast",410,"BURGLARY FROM VEHICLE, ATTEMPTED",0,"X","X",101,"STREET",33.9365,-118.2875
"116",211409288,"04/03/2021 12:00:00 AM",1330,14,"Pacific",330,"BURGLARY FROM VEHICLE",40,"M","W",707,"GARAGE/CARPORT",33.997,-118.4373
"117",231217151,"08/01/2023 12:00:00 AM",1154,12,"77th Street",520,"VEHICLE - ATTEMPT STOLEN",57,"F","B",101,"STREET",33.982,-118.3206
"118",212016046,"10/21/2021 12:00:00 AM",2000,20,"Olympic",310,"BURGLARY",49,"F","O",501,"SINGLE FAMILY DWELLING",34.051,-118.3145
"119",201912969,"08/05/2020 12:00:00 AM",2330,19,"Mission",626,"INTIMATE PARTNER - SIMPLE ASSAULT",37,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.2402,-118.4469
"120",221312764,"06/11/2022 12:00:00 AM",2230,13,"Newton",330,"BURGLARY FROM VEHICLE",39,"M","B",101,"STREET",34.0349,-118.2436
"121",221704979,"01/24/2022 12:00:00 AM",2100,17,"Devonshire",510,"VEHICLE - STOLEN",0,"","",108,"PARKING LOT",34.2312,-118.5632
"122",220110056,"04/10/2022 12:00:00 AM",1200,1,"Central",946,"OTHER MISCELLANEOUS CRIME",49,"F","H",102,"SIDEWALK",34.0449,-118.2458
"123",201606839,"03/06/2020 12:00:00 AM",1300,16,"Foothill",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.2085,-118.3878
"124",221813725,"07/04/2022 12:00:00 AM",1950,18,"Southeast",626,"INTIMATE PARTNER - SIMPLE ASSAULT",33,"F","H",101,"STREET",33.9401,-118.2761
"125",210914133,"09/15/2021 12:00:00 AM",1700,9,"Van Nuys",624,"BATTERY - SIMPLE ASSAULT",33,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.2085,-118.462
"126",231215020,"07/02/2023 12:00:00 AM",1530,12,"77th Street",510,"VEHICLE - STOLEN",0,"","",101,"STREET",33.9953,-118.2872
"127",222118296,"12/29/2022 12:00:00 AM",235,21,"Topanga",330,"BURGLARY FROM VEHICLE",46,"F","H",108,"PARKING LOT",34.2035,-118.571
"128",231421640,"12/05/2023 12:00:00 AM",2000,14,"Pacific",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",30,"M","O",101,"STREET",33.9934,-118.4641
"129",210217656,"11/16/2021 12:00:00 AM",2000,2,"Rampart",510,"VEHICLE - STOLEN",0,"","",101,"STREET",34.0641,-118.2568
"130",220606056,"02/14/2022 12:00:00 AM",1,6,"Hollywood",745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)",33,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.1015,-118.3434
"131",210813311,"08/25/2021 12:00:00 AM",1700,8,"West LA",310,"BURGLARY",0,"X","X",716,"THEATRE/MOVIE",34.04,-118.4393
"132",200510460,"06/10/2020 12:00:00 AM",1740,5,"Harbor",230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,"M","H",501,"SINGLE FAMILY DWELLING",33.7822,-118.2495
"133",241508177,"03/27/2024 12:00:00 AM",15,15,"N Hollywood",330,"BURGLARY FROM VEHICLE",34,"F","H",103,"ALLEY",34.1758,-118.3746
"134",232007269,"03/20/2023 12:00:00 AM",1800,20,"Olympic",510,"VEHICLE - STOLEN",0,"","",707,"GARAGE/CARPORT",34.0636,-118.3053
"135",220906787,"03/15/2022 12:00:00 AM",1330,9,"Van Nuys",624,"BATTERY - SIMPLE ASSAULT",33,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.2048,-118.4286
"136",210813897,"09/10/2021 12:00:00 AM",1540,8,"West LA",442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",0,"X","X",203,"OTHER BUSINESS",34.06,-118.42
"137",220122604,"10/16/2022 12:00:00 AM",2022,1,"Central",435,"LYNCHING",0,"X","X",101,"STREET",34.0599,-118.2379
"138",232014125,"08/08/2023 12:00:00 AM",1100,20,"Olympic",740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40,"M","W",102,"SIDEWALK",34.0637,-118.287
"139",211916047,"11/27/2021 12:00:00 AM",230,19,"Mission",420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",101,"STREET",34.3172,-118.4755
"140",220107689,"02/02/2022 12:00:00 AM",1500,1,"Central",341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28,"M","H",702,"OFFICE BUILDING/OFFICE",34.052,-118.2521
"141",200412891,"09/17/2020 12:00:00 AM",1510,4,"Hollenbeck",761,"BRANDISH WEAPON",64,"M","H",101,"STREET",34.0949,-118.1645
"142",210613199,"06/25/2021 12:00:00 AM",800,6,"Hollywood",649,"DOCUMENT FORGERY / STOLEN FELONY",0,"X","X",121,"YARD (RESIDENTIAL/BUSINESS)",34.0998,-118.3267
"143",210208258,"04/14/2021 12:00:00 AM",1200,2,"Rampart",236,"INTIMATE PARTNER - AGGRAVATED ASSAULT",28,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",34.0587,-118.2678
"144",231517093,"11/03/2023 12:00:00 AM",1230,15,"N Hollywood",510,"VEHICLE - STOLEN",0,"","",101,"STREET",34.1451,-118.3875
"145",211423409,"12/23/2021 12:00:00 AM",2100,14,"Pacific",624,"BATTERY - SIMPLE ASSAULT",38,"F","B",501,"SINGLE FAMILY DWELLING",33.9949,-118.4128
"146",221012409,"08/02/2022 12:00:00 AM",1535,10,"West Valley",354,"THEFT OF IDENTITY",37,"F","H",602,"BANK",34.2012,-118.5145
"147",211106942,"03/26/2021 12:00:00 AM",1720,11,"Northeast",210,"ROBBERY",0,"X","X",203,"OTHER BUSINESS",34.1053,-118.2785
"148",221906853,"03/11/2022 12:00:00 AM",2100,19,"Mission",420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",108,"PARKING LOT",34.3261,-118.4889
